006385cc  00000716 R_ARM_JUMP_SLOT   0048f86c   ezxml_set_attr
00639d10  0008c016 R_ARM_JUMP_SLOT   004e5d60   SHA512_Init
00639d14  0008c116 R_ARM_JUMP_SLOT   003dc3ec   Level2seedToKey
00639d18  0008c316 R_ARM_JUMP_SLOT   002b7924   sub_300655B4
00639d1c  0008c416 R_ARM_JUMP_SLOT   003c3840   DealWithFFdataMuxEle
00639d20  0008c616 R_ARM_JUMP_SLOT   002ba338   method_8
00639d24  0008c716 R_ARM_JUMP_SLOT   00000000   __aeabi_dcmpge
00639d28  0008c816 R_ARM_JUMP_SLOT   00459a88   lua_rawseti
00639d2c  0008c916 R_ARM_JUMP_SLOT   00282190   OBDII_Read_Frame
00639d30  0008ca16 R_ARM_JUMP_SLOT   003982c8   DoReadBDXACList
00639d34  0008cb16 R_ARM_JUMP_SLOT   000b6ec0   GetKey_DAF_2Seed2Key_N
00639d38  0008cd16 R_ARM_JUMP_SLOT   00000000   umask
00639d3c  0008cf16 R_ARM_JUMP_SLOT   001153b4   MixColumns
00639d40  0008d016 R_ARM_JUMP_SLOT   004acaf8   MakeDesInit
00639d44  0008d116 R_ARM_JUMP_SLOT   003a9da4   ParseavgroupList_8400
00639d48  0008d216 R_ARM_JUMP_SLOT   0036dbb4   Fmt_OutDataBuf
00639d4c  0008d416 R_ARM_JUMP_SLOT   0045931c   lua_rawget
00639d50  0008d516 R_ARM_JUMP_SLOT   0038d4b8   DoServiceView
00639d54  0008d716 R_ARM_JUMP_SLOT   004f209c   BN_sqr
00639d58  0008d816 R_ARM_JUMP_SLOT   001cf84c   Get_Injector_Data
00639d5c  0008da16 R_ARM_JUMP_SLOT   003dddfc   InputDateSN
00639d60  0008dc16 R_ARM_JUMP_SLOT   00000000   PH_Communicate
00639d64  0008dd16 R_ARM_JUMP_SLOT   003c7320   FreeAssign
00639d68  0008de16 R_ARM_JUMP_SLOT   00000000   sem_init
00639d6c  0008df16 R_ARM_JUMP_SLOT   0028ff0c   Seedkey_chery
00639d70  0008e016 R_ARM_JUMP_SLOT   00295724   LoadSeed
00639d74  0008e116 R_ARM_JUMP_SLOT   002b77b4   sub_30065540
00639d78  0008e216 R_ARM_JUMP_SLOT   0044956c   PopEscapeRegionStack
00639d7c  0008e316 R_ARM_JUMP_SLOT   0048dfb4   ezxml_toxml_r
00639d80  0008e416 R_ARM_JUMP_SLOT   003b96e4   SystemkeyInit
00639d84  0008e916 R_ARM_JUMP_SLOT   0014f62c   Diag_Set_ID
00639d88  0008eb16 R_ARM_JUMP_SLOT   0025df6c   Nissan_Read_Dtc_Old_Rc
00639d8c  0008ec16 R_ARM_JUMP_SLOT   00134974   HexString2Buffer
00639d90  0008ed16 R_ARM_JUMP_SLOT   001b2d54   J1939_DTC_Parse
00639d94  0008ee16 R_ARM_JUMP_SLOT   00441718   HMInputDate
00639d98  0008ef16 R_ARM_JUMP_SLOT   0012a990   BMW_Test_Action_Advanc
00639d9c  0008f016 R_ARM_JUMP_SLOT   00084984   WaitForSinal
00639da0  0008f116 R_ARM_JUMP_SLOT   003c4df4   GetDTCHandlingString
00639da4  0008f316 R_ARM_JUMP_SLOT   0034f9c0   xml_GetDIAGOK
00639da8  0008f416 R_ARM_JUMP_SLOT   00000000   __aeabi_dsub
00639dac  0008f516 R_ARM_JUMP_SLOT   00000000   mktime
00639db0  0008f616 R_ARM_JUMP_SLOT   0038b568   luaFclose
00639db4  0008f716 R_ARM_JUMP_SLOT   001918c4   Gm_Act_Send
00639db8  0008f916 R_ARM_JUMP_SLOT   00372aa8   ShangChai_ActTestResul
00639dbc  0008fa16 R_ARM_JUMP_SLOT   002eb750   f2b
00639dc0  0008fb16 R_ARM_JUMP_SLOT   00091c40   Dataflow_GetUnit
00639dc4  0008ff16 R_ARM_JUMP_SLOT   00390174   IsExistInAvPack
00639dc8  00090016 R_ARM_JUMP_SLOT   00178dec   wchar2Dbyte
00639dcc  00090116 R_ARM_JUMP_SLOT   000b2a74   tt_27
00639dd0  00090516 R_ARM_JUMP_SLOT   004cb8f0   DecryptBufferEx
00639dd4  00090716 R_ARM_JUMP_SLOT   004de788   sk_free
00639dd8  00090816 R_ARM_JUMP_SLOT   00000000   ferror
00639ddc  00090916 R_ARM_JUMP_SLOT   00000000   strstr
00639de0  00090b16 R_ARM_JUMP_SLOT   00287580   Renault_ReadDTC_RcvMsg
00639de4  00090f16 R_ARM_JUMP_SLOT   00283714   OBDII_Dtc_Spy
00639de8  00091016 R_ARM_JUMP_SLOT   004a88dc   Decrypt_char
00639dec  00091116 R_ARM_JUMP_SLOT   004532c0   WFD_ShowActuatorAV4Dia
00639df0  00091216 R_ARM_JUMP_SLOT   004f03ac   BN_mod_mul
00639df4  00091316 R_ARM_JUMP_SLOT   003add7c   SD_Msg_Parse_1003
00639df8  00091416 R_ARM_JUMP_SLOT   004b3788   GetAddrLength
00639dfc  00091516 R_ARM_JUMP_SLOT   004f4364   BIO_new
00639e00  00091616 R_ARM_JUMP_SLOT   003eaa5c   InstanceCircleUnit
00639e04  00091716 R_ARM_JUMP_SLOT   0039d23c   BDX_DoIdentification
00639e08  00091916 R_ARM_JUMP_SLOT   00000000   sin
00639e0c  00091b16 R_ARM_JUMP_SLOT   004b41f0   AddToCacheList
00639e10  00091c16 R_ARM_JUMP_SLOT   00165018   CheckPcList_Action
00639e14  00091e16 R_ARM_JUMP_SLOT   0039197c   FindAvParamrefInMux
00639e18  00091f16 R_ARM_JUMP_SLOT   00396934   CheckCondition
00639e1c  00092016 R_ARM_JUMP_SLOT   004dba64   ENGINE_get_RAND
00639e20  00092116 R_ARM_JUMP_SLOT   003c453c   DoBDXFFdataParse
00639e24  00092216 R_ARM_JUMP_SLOT   00000000   rand
00639e28  00092416 R_ARM_JUMP_SLOT   004fa2f8   ASN1_STRING_cmp
00639e2c  00092516 R_ARM_JUMP_SLOT   004d70bc   bn_sqr_comba4
00639e30  00092616 R_ARM_JUMP_SLOT   00290afc   Daf_Key
00639e34  00092a16 R_ARM_JUMP_SLOT   0045a464   lua_dump
00639e38  00092b16 R_ARM_JUMP_SLOT   00185da4   kxml_GetFaultInformati
00639e3c  00092d16 R_ARM_JUMP_SLOT   00489d80   ezxml_child
00639e40  00092f16 R_ARM_JUMP_SLOT   0045bf50   luaL_optlstring
00639e44  00093016 R_ARM_JUMP_SLOT   003bcd98   GetgFuncListRoot
00639e48  00093116 R_ARM_JUMP_SLOT   003634a8   J1708_Read_Data_NameLi
00639e4c  00093316 R_ARM_JUMP_SLOT   004cc264   BN_clear
00639e50  00093416 R_ARM_JUMP_SLOT   00188d10   xml_GetCarList
00639e54  00093516 R_ARM_JUMP_SLOT   000a1350   ShiftBit
00639e58  00093616 R_ARM_JUMP_SLOT   00000000   atan2
00639e5c  00093716 R_ARM_JUMP_SLOT   004493ac   PopTimeoutRegionStack
00639e60  00093a16 R_ARM_JUMP_SLOT   0039c09c   Communicate
00639e64  00093b16 R_ARM_JUMP_SLOT   003c5a40   ReadDTCHandlingSearch
00639e68  00093c16 R_ARM_JUMP_SLOT   004e1168   OBJ_nid2obj
00639e6c  00093d16 R_ARM_JUMP_SLOT   00150454   Task_Diag
00639e70  00093e16 R_ARM_JUMP_SLOT   0045bab4   luaL_newmetatable
00639e74  00093f16 R_ARM_JUMP_SLOT   00000000   read
00639e78  00094016 R_ARM_JUMP_SLOT   00499e9c   std_strToDec_1_Ex
00639e7c  00094116 R_ARM_JUMP_SLOT   00436dd8   PushEscapeRegionStackL
00639e80  00094216 R_ARM_JUMP_SLOT   0013cd6c   CheckExitCMM
00639e84  00094316 R_ARM_JUMP_SLOT   0039af24   VCI_Init
00639e88  00094516 R_ARM_JUMP_SLOT   004f1d24   BN_div_word
00639e8c  00094916 R_ARM_JUMP_SLOT   003ea0a4   InstanceCodingName
00639e90  00094a16 R_ARM_JUMP_SLOT   0029d210   gain6
00639e94  00094b16 R_ARM_JUMP_SLOT   00085aa8   KXmlGetStringPreassign
00639e98  00094d16 R_ARM_JUMP_SLOT   000a7344   Transform
00639e9c  00094f16 R_ARM_JUMP_SLOT   000b37e0   ApplicationSW
00639ea0  00095016 R_ARM_JUMP_SLOT   00000000   PH_StartTesterPresent
00639ea4  00095116 R_ARM_JUMP_SLOT   00489bd4   ezxml_memory_addf
00639ea8  00095216 R_ARM_JUMP_SLOT   00212140   Kwp_Comm_SendOnTime
00639eac  00095316 R_ARM_JUMP_SLOT   004de6d4   sk_value
00639eb0  00095416 R_ARM_JUMP_SLOT   003af430   FindeService
00639eb4  00095516 R_ARM_JUMP_SLOT   003aa034   ParseavSelList_8401
00639eb8  00095616 R_ARM_JUMP_SLOT   00089c10   AudiKwp_Parse_Ver
00639ebc  00095716 R_ARM_JUMP_SLOT   003ec0f0   WFD_Dealwith_Node_Deci
00639ec0  00095916 R_ARM_JUMP_SLOT   000b8944   Man_ConfuseBits_1
00639ec4  00095a16 R_ARM_JUMP_SLOT   004b4918   GetFileName
00639ec8  00095b16 R_ARM_JUMP_SLOT   00451248   WFD_GetItemCurSel
00639ecc  00095d16 R_ARM_JUMP_SLOT   00446570   InstancePieChartDialog
00639ed0  00096016 R_ARM_JUMP_SLOT   003977ec   CreateACByNode
00639ed4  00096116 R_ARM_JUMP_SLOT   001759cc   DIAGP_MeteringUnitTest
00639ed8  00096316 R_ARM_JUMP_SLOT   002183d4   SDEC_Kwp_RDTC_Comm
00639edc  00096416 R_ARM_JUMP_SLOT   002f07fc   ROEVE_system_seed2key
00639ee0  00096516 R_ARM_JUMP_SLOT   00000000   strcoll
00639ee4  00096616 R_ARM_JUMP_SLOT   002eb6d4   b2f
00639ee8  00096816 R_ARM_JUMP_SLOT   0044f28c   WFD_ShowAv6Dialog
00639eec  00096a16 R_ARM_JUMP_SLOT   0022a268   Delphi_Immo_Match
00639ef0  00096e16 R_ARM_JUMP_SLOT   003c67b8   ShowActuatorAV4DialogB
00639ef4  00096f16 R_ARM_JUMP_SLOT   002211ec   tsingshan_communicatio
00639ef8  00097016 R_ARM_JUMP_SLOT   00000000   strncmp
00639efc  00097116 R_ARM_JUMP_SLOT   0039af54   VCI_Create_ComLogicalL
00639f00  00097516 R_ARM_JUMP_SLOT   004f611c   ASN1_item_ex_new
00639f04  00097616 R_ARM_JUMP_SLOT   00370f34   Kwp2k_Read_Frame
00639f08  00097816 R_ARM_JUMP_SLOT   00000000   dlopen
00639f0c  00097a16 R_ARM_JUMP_SLOT   0029c994   gain2
00639f10  00097b16 R_ARM_JUMP_SLOT   003c701c   ShowActuatorDialogByNo
00639f14  00097c16 R_ARM_JUMP_SLOT   002e2c34   fix_sec_data
00639f18  00097f16 R_ARM_JUMP_SLOT   000bc754   roewe_seed2key
00639f1c  00098016 R_ARM_JUMP_SLOT   0045b930   luaL_fileresult
00639f20  00098116 R_ARM_JUMP_SLOT   00087580   InitMemoryRecord
00639f24  00098216 R_ARM_JUMP_SLOT   0025c854   Condition_Judge
00639f28  00098316 R_ARM_JUMP_SLOT   0038eabc   LoadAcAvs
00639f2c  00098516 R_ARM_JUMP_SLOT   001b6f5c   J1939_RecvPacketsFilte
00639f30  00098616 R_ARM_JUMP_SLOT   000b8e10   GetKey_2017_09_15_19_0
00639f34  00098716 R_ARM_JUMP_SLOT   00083e8c   SearchSpyKey
00639f38  00098816 R_ARM_JUMP_SLOT   004b4c88   GetFileHead
00639f3c  00099316 R_ARM_JUMP_SLOT   004b1cb4   GetTextFromBdxLibText
00639f40  00099416 R_ARM_JUMP_SLOT   004f59f8   ASN1_primitive_new
00639f44  00099516 R_ARM_JUMP_SLOT   004cda74   RAND_status
00639f48  00099716 R_ARM_JUMP_SLOT   00394d20   WriteAvitemInfoOutbuf
00639f4c  00099916 R_ARM_JUMP_SLOT   0049774c   RbKeyInit
00639f50  00099a16 R_ARM_JUMP_SLOT   004997ac   std_file_cmp
00639f54  00099b16 R_ARM_JUMP_SLOT   003c2a4c   DealWithFFDataByEleNod
00639f58  00099c16 R_ARM_JUMP_SLOT   000b6910   GetKey_Volvo
00639f5c  00099d16 R_ARM_JUMP_SLOT   003b47fc   DoDemoRes
00639f60  00099e16 R_ARM_JUMP_SLOT   003e6f70   InstanceAVValue
00639f64  0009a016 R_ARM_JUMP_SLOT   001176e0   Get_Cmdeditinfo
00639f68  0009a316 R_ARM_JUMP_SLOT   004cd7c4   ENGINE_get_default_RSA
00639f6c  0009a416 R_ARM_JUMP_SLOT   004a9a18   MakeDesFile
00639f70  0009a616 R_ARM_JUMP_SLOT   00000000   pow
00639f74  0009a716 R_ARM_JUMP_SLOT   004e0808   EVP_DigestInit_ex
00639f78  0009a916 R_ARM_JUMP_SLOT   00135140   ReplaceChar
00639f7c  0009aa16 R_ARM_JUMP_SLOT   004d15ec   CRYPTO_new_ex_data
00639f80  0009ab16 R_ARM_JUMP_SLOT   0045a9c4   lua_newuserdata
00639f84  0009ac16 R_ARM_JUMP_SLOT   003618e0   J1708_Frames_Piece
00639f88  0009ad16 R_ARM_JUMP_SLOT   002939d8   md5single
00639f8c  0009ae16 R_ARM_JUMP_SLOT   002e42dc   seedkey_racf_20210715
00639f90  0009af16 R_ARM_JUMP_SLOT   00000000   __aeabi_f2iz
00639f94  0009b216 R_ARM_JUMP_SLOT   00000000   strncpy
00639f98  0009b316 R_ARM_JUMP_SLOT   000af108   sub_100051A0
00639f9c  0009b516 R_ARM_JUMP_SLOT   00000000   sinh
00639fa0  0009b616 R_ARM_JUMP_SLOT   00000000   sync
00639fa4  0009b716 R_ARM_JUMP_SLOT   004cb9f8   DeGetLastError
00639fa8  0009b816 R_ARM_JUMP_SLOT   001df274   Kwp2k_Seed2Key
00639fac  0009b916 R_ARM_JUMP_SLOT   0034f95c   xml_GetDIAG
00639fb0  0009bb16 R_ARM_JUMP_SLOT   003b3864   DoServicecall
00639fb4  0009bc16 R_ARM_JUMP_SLOT   00490fcc   readfilelistEx
00639fb8  0009bf16 R_ARM_JUMP_SLOT   00084d78   FS_Close
00639fbc  0009c016 R_ARM_JUMP_SLOT   0039cba8   PutoutInfomotive
00639fc0  0009c216 R_ARM_JUMP_SLOT   00444914   HNMZD_ECU_Flash_Flow1
00639fc4  0009c416 R_ARM_JUMP_SLOT   00139820   ReadKSystemDtc
00639fc8  0009c516 R_ARM_JUMP_SLOT   001ba008   MultiRecv
00639fcc  0009c616 R_ARM_JUMP_SLOT   0045a8c8   lua_len
00639fd0  0009c716 R_ARM_JUMP_SLOT   00000000   strcasecmp
00639fd4  0009cb16 R_ARM_JUMP_SLOT   00000000   log10
00639fd8  0009cd16 R_ARM_JUMP_SLOT   000b4d48   bosch_edc17_uds_seed2k
00639fdc  0009ce16 R_ARM_JUMP_SLOT   00399ff0   BDXResponseAC
00639fe0  0009cf16 R_ARM_JUMP_SLOT   0013a8dc   SetEnterWay
00639fe4  0009d116 R_ARM_JUMP_SLOT   00138be4   BroadcastScanDtc
00639fe8  0009d416 R_ARM_JUMP_SLOT   00447914   RefreshSelectionDialog
00639fec  0009d616 R_ARM_JUMP_SLOT   001a0ec8   HonDaN_Read_Data_Canbu
00639ff0  0009d816 R_ARM_JUMP_SLOT   0035ebe8   Volvo_Send_Start_A
00639ff4  0009da16 R_ARM_JUMP_SLOT   003b6734   FreeSysref
00639ff8  0009db16 R_ARM_JUMP_SLOT   002e720c   sub_7E98F408
00639ffc  0009dc16 R_ARM_JUMP_SLOT   001b3b14   J1939_DataRequest
0063a000  0009dd16 R_ARM_JUMP_SLOT   00449364   IsTimeoutRegionStackEm
0063a004  0009de16 R_ARM_JUMP_SLOT   0038b2e0   OSSchedUnlock
0063a008  0009e116 R_ARM_JUMP_SLOT   003e6650   RefreshInfotext
0063a00c  0009e216 R_ARM_JUMP_SLOT   003992c0   BDXStdAcTest
0063a010  0009e416 R_ARM_JUMP_SLOT   001384c4   SetSysMapSim
0063a014  0009e816 R_ARM_JUMP_SLOT   0045d4e8   luaL_requiref
0063a018  0009e916 R_ARM_JUMP_SLOT   002f5f60   Ascii2Word
0063a01c  0009ea16 R_ARM_JUMP_SLOT   0024d5c8   Maruili_Test_SendMsg
0063a020  0009ec16 R_ARM_JUMP_SLOT   00000000   realloc
0063a024  0009ed16 R_ARM_JUMP_SLOT   0011ad04   MSet_ReadData
0063a028  0009ef16 R_ARM_JUMP_SLOT   00117ab0   MSet_Free_CMDEditInfo_
0063a02c  0009f016 R_ARM_JUMP_SLOT   00257258   Mitsub_Spy_Stream
0063a030  0009f216 R_ARM_JUMP_SLOT   0039485c   GetInformotiveValue
0063a034  0009f316 R_ARM_JUMP_SLOT   004b2000   GetFontStrByU32Ex
0063a038  0009f516 R_ARM_JUMP_SLOT   0020cd0c   convert_rot
0063a03c  0009f616 R_ARM_JUMP_SLOT   0048d9f8   ezxml_parse_file_Ex
0063a040  0009f716 R_ARM_JUMP_SLOT   002c5b3c   seedkey_008c_0314
0063a044  0009f916 R_ARM_JUMP_SLOT   003eacbc   InstanceCircleEnd
0063a048  000a0016 R_ARM_JUMP_SLOT   00389b98   WriteComBuf
0063a04c  000a0216 R_ARM_JUMP_SLOT   004456bc   InstancePieChart3Dialo
0063a050  000a0716 R_ARM_JUMP_SLOT   0038b370   luarealloc
0063a054  000a0916 R_ARM_JUMP_SLOT   004de620   sk_delete_ptr
0063a058  000a0a16 R_ARM_JUMP_SLOT   004e0f3c   OBJ_nid2ln
0063a05c  000a0b16 R_ARM_JUMP_SLOT   00390afc   DoBDXAVSelChange
0063a060  000a0d16 R_ARM_JUMP_SLOT   004b1bd8   Check_Register
0063a064  000a0e16 R_ARM_JUMP_SLOT   0036de84   Recover
0063a068  000a1216 R_ARM_JUMP_SLOT   00000000   BBEnterSystem
0063a06c  000a1316 R_ARM_JUMP_SLOT   0038b44c   luaFopen
0063a070  000a1416 R_ARM_JUMP_SLOT   0045bb54   luaL_setmetatable
0063a074  000a1516 R_ARM_JUMP_SLOT   001a47bc   xml_GetActProtocol1
0063a078  000a1616 R_ARM_JUMP_SLOT   002e9034   seedkey_jianhuai_md1p1
0063a07c  000a1a16 R_ARM_JUMP_SLOT   000bf820   ES_CalculateKeyFromSee
0063a080  000a1b16 R_ARM_JUMP_SLOT   003bd5a4   LoadWFDResouce
0063a084  000a1c16 R_ARM_JUMP_SLOT   00000000   __aeabi_fdiv
0063a088  000a1d16 R_ARM_JUMP_SLOT   00000000   tmpfile64
0063a08c  000a1f16 R_ARM_JUMP_SLOT   0036e378   join
0063a090  000a2016 R_ARM_JUMP_SLOT   0035d100   A0_TianJi_Pky
0063a094  000a2116 R_ARM_JUMP_SLOT   0030387c   Read_Data_sub
0063a098  000a2216 R_ARM_JUMP_SLOT   002eb174   btea_encode_1
0063a09c  000a2516 R_ARM_JUMP_SLOT   003eb054   InstanceCircleUpperLim
0063a0a0  000a2616 R_ARM_JUMP_SLOT   002d535c   sub_10001000
0063a0a4  000a2716 R_ARM_JUMP_SLOT   000c0b00   B2k_Access
0063a0a8  000a2816 R_ARM_JUMP_SLOT   00000000   __aeabi_i2d
0063a0ac  000a2916 R_ARM_JUMP_SLOT   00456124   WFD_ShowPieChart3Dialo
0063a0b0  000a2a16 R_ARM_JUMP_SLOT   003c2994   IsFFDataShortname
0063a0b4  000a2c16 R_ARM_JUMP_SLOT   004cc2bc   BN_free
0063a0b8  000a3116 R_ARM_JUMP_SLOT   004cd530   engine_unlocked_init
0063a0bc  000a3416 R_ARM_JUMP_SLOT   00499d44   std_strToDecEx
0063a0c0  000a3616 R_ARM_JUMP_SLOT   0044b24c   WFD_Exit
0063a0c4  000a3716 R_ARM_JUMP_SLOT   004501ec   WFD_Show_Av8Dialog
0063a0c8  000a3816 R_ARM_JUMP_SLOT   0025fb44   Nissan_Stream_OLD_Fram
0063a0cc  000a3916 R_ARM_JUMP_SLOT   004f35f0   ENGINE_get_digests
0063a0d0  000a3b16 R_ARM_JUMP_SLOT   00000000   _IO_getc
0063a0d4  000a3c16 R_ARM_JUMP_SLOT   00000000   strtok
0063a0d8  000a3d16 R_ARM_JUMP_SLOT   00151034   Frame_PackingMsg
0063a0dc  000a3e16 R_ARM_JUMP_SLOT   003d989c   AnalysZIP
0063a0e0  000a3f16 R_ARM_JUMP_SLOT   002f5c98   seed2key_gvcu
0063a0e4  000a4016 R_ARM_JUMP_SLOT   002494bc   Delphi_CAN_ReadDTC_Com
0063a0e8  000a4316 R_ARM_JUMP_SLOT   0035c950   A0_Load_DLL_And_SO
0063a0ec  000a4816 R_ARM_JUMP_SLOT   00398a20   AcExit
0063a0f0  000a4916 R_ARM_JUMP_SLOT   00000000   memcmp
0063a0f4  000a4b16 R_ARM_JUMP_SLOT   003e69dc   RefreshInteraction
0063a0f8  000a4c16 R_ARM_JUMP_SLOT   0038aa30   Resum_TaskExist
0063a0fc  000a4d16 R_ARM_JUMP_SLOT   00290460   Seedkey_ALL
0063a100  000a4e16 R_ARM_JUMP_SLOT   004e0560   EVP_MD_CTX_init
0063a104  000a5216 R_ARM_JUMP_SLOT   004b1984   check_language
0063a108  000a5316 R_ARM_JUMP_SLOT   004900f8   ezxml_add_record
0063a10c  000a5416 R_ARM_JUMP_SLOT   004aca30   Make_KTPackage_buff
0063a110  000a5516 R_ARM_JUMP_SLOT   003b55e8   DoStopComm
0063a114  000a5616 R_ARM_JUMP_SLOT   00182ebc   xml_GetSpy
0063a118  000a5716 R_ARM_JUMP_SLOT   004cc038   BN_is_bit_set
0063a11c  000a5816 R_ARM_JUMP_SLOT   001113c4   B2k_Test_1C
0063a120  000a5916 R_ARM_JUMP_SLOT   00000000   fdopen
0063a124  000a5b16 R_ARM_JUMP_SLOT   003ca190   ShowAv6DialogByNode
0063a128  000a5c16 R_ARM_JUMP_SLOT   003894d8   resetComPort
0063a12c  000a5d16 R_ARM_JUMP_SLOT   00450460   CreateSelectionDialogN
0063a130  000a5e16 R_ARM_JUMP_SLOT   0024d538   Maruili_SendMsg
0063a134  000a6116 R_ARM_JUMP_SLOT   00207818   do_crc
0063a138  000a6416 R_ARM_JUMP_SLOT   003743b8   UnDataflow_GetName
0063a13c  000a6716 R_ARM_JUMP_SLOT   00449020   InitSubworkflowStack
0063a140  000a6a16 R_ARM_JUMP_SLOT   003a0cbc   LuaApp_EcuIdent
0063a144  000a6b16 R_ARM_JUMP_SLOT   0044d014   SetLableElement
0063a148  000a6c16 R_ARM_JUMP_SLOT   00000000   sscanf
0063a14c  000a7216 R_ARM_JUMP_SLOT   003aa8a8   FreeParseFunList
0063a150  000a7316 R_ARM_JUMP_SLOT   0039c9c4   SearchConstant
0063a154  000a7616 R_ARM_JUMP_SLOT   004ce0b0   ERR_clear_error
0063a158  000a7816 R_ARM_JUMP_SLOT   00432ea0   init
0063a15c  000a7b16 R_ARM_JUMP_SLOT   0043b7c8   WFD_GetExpressValue
0063a160  000a7c16 R_ARM_JUMP_SLOT   0025f378   Nissan_Stream_NEW_Fram
0063a164  000a7d16 R_ARM_JUMP_SLOT   004ee8e8   BN_mod_exp_mont_word
0063a168  000a7e16 R_ARM_JUMP_SLOT   003959fc   InstanceAVItemByName
0063a16c  000a7f16 R_ARM_JUMP_SLOT   00218a34   SUZUKI_Kwp_RDTC_Comm
0063a170  000a8016 R_ARM_JUMP_SLOT   0038a978   EN_TaskExist
0063a174  000a8116 R_ARM_JUMP_SLOT   00322aa8   Seed2key
0063a178  000a8216 R_ARM_JUMP_SLOT   003726cc   ShangChai_GetTestResul
0063a17c  000a8316 R_ARM_JUMP_SLOT   004e0478   EVP_DigestUpdate
0063a180  000a8416 R_ARM_JUMP_SLOT   000bd5b0   njFIAT_seed2key
0063a184  000a8616 R_ARM_JUMP_SLOT   0017bea4   xml_GetGlobalK
0063a188  000a8716 R_ARM_JUMP_SLOT   00088e4c   Kwp2k_RcvMsgS7F
0063a18c  000a8816 R_ARM_JUMP_SLOT   0020ce84   convert_xory
0063a190  000a8916 R_ARM_JUMP_SLOT   002cdc9c   seedkey_cthnc_chaiping
0063a194  000a8a16 R_ARM_JUMP_SLOT   0008738c   GetKeyContentToBuff
0063a198  000a8b16 R_ARM_JUMP_SLOT   004d0588   CRYPTO_realloc_clean
0063a19c  000a8c16 R_ARM_JUMP_SLOT   003dca3c   CHJ_SendandRecev
0063a1a0  000a8e16 R_ARM_JUMP_SLOT   003b8d00   GetVariFuncList
0063a1a4  000a8f16 R_ARM_JUMP_SLOT   004cb884   DecryptBuffer
0063a1a8  000a9116 R_ARM_JUMP_SLOT   003a78e8   GetTextResource
0063a1ac  000a9416 R_ARM_JUMP_SLOT   0039ab40   FilterAcs
0063a1b0  000a9516 R_ARM_JUMP_SLOT   002bbe48   sub_10001510
0063a1b4  000a9616 R_ARM_JUMP_SLOT   000bc4e8   trans2data
0063a1b8  000a9716 R_ARM_JUMP_SLOT   0039f2b8   DoBDXFindMatchVariant
0063a1bc  000a9816 R_ARM_JUMP_SLOT   0048f41c   ezxml_new
0063a1c0  000a9916 R_ARM_JUMP_SLOT   001d1828   HM_Read_frame
0063a1c4  000a9a16 R_ARM_JUMP_SLOT   00000000   strncat
0063a1c8  000a9c16 R_ARM_JUMP_SLOT   0038e868   AddAvItem
0063a1cc  000a9d16 R_ARM_JUMP_SLOT   002e67a4   seedkey_008c_108
0063a1d0  000a9f16 R_ARM_JUMP_SLOT   002d7f20   seedkey_008c_219
0063a1d4  000aa016 R_ARM_JUMP_SLOT   000b9fd0   GetKey_WeiChai_nSeednK
0063a1d8  000aa116 R_ARM_JUMP_SLOT   00288d1c   Renualt_Communication
0063a1dc  000aa316 R_ARM_JUMP_SLOT   00118de4   MSet_GetParaFromRcvPac
0063a1e0  000aa416 R_ARM_JUMP_SLOT   00390458   IsExistInAvpool
0063a1e4  000aa516 R_ARM_JUMP_SLOT   000ba090   GetKey_WeiChai_nSeednK
0063a1e8  000aa716 R_ARM_JUMP_SLOT   000b7ed4   GetKey_DAF_4Seed16Key_
0063a1ec  000aa816 R_ARM_JUMP_SLOT   003c1670   SearchFFDataValue
0063a1f0  000aa916 R_ARM_JUMP_SLOT   004450b4   InstanceInfoDialog
0063a1f4  000aab16 R_ARM_JUMP_SLOT   00301b98   Kia_Spy_Sub
0063a1f8  000aac16 R_ARM_JUMP_SLOT   0048ae94   ezxml_close_tag
0063a1fc  000aad16 R_ARM_JUMP_SLOT   004cd348   RSA_new_method
0063a200  000aae16 R_ARM_JUMP_SLOT   00373714   Dataflow_GetName1
0063a204  000aaf16 R_ARM_JUMP_SLOT   002b7a78   seedkeyx
0063a208  000ab116 R_ARM_JUMP_SLOT   004eca00   SHA512_Update
0063a20c  000ab216 R_ARM_JUMP_SLOT   002306b8   BOSCH_EDC17Login
0063a210  000ab416 R_ARM_JUMP_SLOT   003e677c   InstanceInteractions
0063a214  000ab516 R_ARM_JUMP_SLOT   000fc490   B2k_Read_Data
0063a218  000ab616 R_ARM_JUMP_SLOT   004e0e8c   OBJ_obj2nid
0063a21c  000ab716 R_ARM_JUMP_SLOT   0024e738   Maruili_Read_Stream
0063a220  000ab916 R_ARM_JUMP_SLOT   004e0cf4   OBJ_bsearch
0063a224  000abd16 R_ARM_JUMP_SLOT   001b6dfc   PGNComp
0063a228  000abe16 R_ARM_JUMP_SLOT   003c7bcc   FineGlobalAssign
0063a22c  000abf16 R_ARM_JUMP_SLOT   00084ea8   LoadLibrary
0063a230  000ac016 R_ARM_JUMP_SLOT   00084bbc   FS_OpenA
0063a234  000ac216 R_ARM_JUMP_SLOT   00389e84   iobox_ser_InitPort
0063a238  000ac416 R_ARM_JUMP_SLOT   0021f8a8   asciitohex
0063a23c  000ac616 R_ARM_JUMP_SLOT   004d3e6c   BN_BLINDING_get_thread
0063a240  000ac816 R_ARM_JUMP_SLOT   0044aa68   CheckTimeoutRegion
